학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소,경도,위도
대학,246,초당대학교,본교,전남,사립,기존,전라남도 무안군 무안읍 무안로 380 ,126.4702706,34.98004267
대학,247,한국공학대학교,본교,경기,사립,기존,경기도 시흥시 산기대학로 237 ,126.7335415,37.33973203
대학,248,제주국제대학교,본교,제주,사립,기존,제주특별자치도 제주시 516로 2870 ,126.5698292,33.44277279
대학,249,창신대학교,본교,경남,사립,기존,경상남도 창원시 마산회원구 팔용로 262 ,128.5995901,35.24468577
대학,250,울산과학기술원,본교,울산,특별법법인,기존,울산광역시 울주군 언양읍 유니스트길 50 ,129.1876225,35.57730771
대학,251,공주교육대학교,본교,충남,국립,기존,충청남도 공주시 웅진로 27 ,127.1196486,36.44519917
대학,252,광주교육대학교,본교,광주,국립,기존,광주광역시 북구 필문대로 55 ,126.925679,35.16474892
대학,253,대구교육대학교,본교,대구,국립,기존,대구광역시 남구 중앙대로 219 ,128.5877473,35.85143175
대학,254,부산교육대학교,본교,부산,국립,기존,부산광역시 연제구 교대로 24 ,129.0770766,35.19569854
대학,255,서울교육대학교,본교,서울,국립,기존,서울특별시 서초구 서초중앙로 96 ,127.0153896,37.49073553
대학,256,경인교육대학교,본교,인천,국립,기존,인천광역시 계양구 계산로 62 ,126.7188349,37.53670442
대학,257,경인교육대학교,제2캠퍼스,경기,국립,기존,경기도 안양시 만안구 삼막로 155 ,126.9170634,37.43561057
대학,258,전주교육대학교,본교,전북,국립,기존,전라북도 전주시 완산구 서학로 50 ,127.1538054,35.8091646
대학,260,진주교육대학교,본교,경남,국립,기존,경상남도 진주시 진양호로369번길 3 ,128.0679698,35.18582354
대학,261,청주교육대학교,본교,충북,국립,기존,충청북도 청주시 서원구 청남로 2065 ,127.4839578,36.61546852
대학,262,춘천교육대학교,본교,강원,국립,기존,강원도 춘천시 공지로 126 ,127.7485981,37.8594161
대학,273,한국방송통신대학교,본교,서울,국립,기존,서울특별시 종로구 대학로 86 ,127.0032831,37.57918774
대학,282,호원대학교,본교,전북,사립,기존,전라북도 군산시 임피면 호원대3길 64 ,126.8637808,35.96792293
대학,284,청운대학교,본교,충남,사립,기존,충청남도 홍성군 홍성읍 대학길 25 ,126.6642761,36.58245599
대학,288,정석대학,본교,서울,사립,기존,서울특별시 강서구 오정로 576 ,126.8138868,37.5462088
대학,317,순복음총회신학교,본교,충북,사립,기존,충청북도 제천시 덕산면 도전로 320 ,128.1678553,36.90424136
대학,318,경희사이버대학교,본교,서울,사립,기존,서울특별시 동대문구 경희대로 26 ,127.0548834,37.59395131
대학,319,국제사이버대학교,본교,경기,사립,기존,경기도 수원시 팔달구 경수대로 490 ,127.0282199,37.26959475
대학,320,대구사이버대학교,본교,경북,사립,기존,경상북도 경산시 진량읍 대구대로 201 ,128.8428139,35.90451427
대학,321,부산디지털대학교,본교,부산,사립,기존,부산광역시 사상구 주례로 57 ,129.0096194,35.14635371
대학,322,서울디지털대학교,본교,서울,사립,기존,서울특별시 강서구 공항대로 424 ,126.8540186,37.5549959
대학,323,서울사이버대학교,본교,서울,사립,기존,서울특별시 강북구 솔매로49길 60 ,127.027132,37.62983833
대학,325,세종사이버대학교,본교,서울,사립,기존,서울특별시 광진구 군자로 121 ,127.0728933,37.55373017
대학,326,한국열린사이버대학교,본교,서울,사립,기존,서울특별시 중랑구 망우로 353,127.0916211,37.59833435
대학,327,원광디지털대학교,본교,전북,사립,기존,전라북도 익산시 익산대로 460 ,126.9602199,35.97171577
대학,328,고려사이버대학교,본교,서울,사립,기존,서울특별시 종로구 북촌로 106 ,126.9870588,37.58694463
대학,329,숭실사이버대학교,본교,서울,사립,기존,서울특별시 종로구 삼일대로30길 23 ,126.9887817,37.57447505
대학,330,디지털서울문화예술대학교,본교,서울,사립,기존,서울특별시 서대문구 통일로37길 60 ,126.9438775,37.58544536
대학,331,한양사이버대학교,본교,서울,사립,기존,서울특별시 성동구 왕십리로 220 ,127.0475226,37.55718491
대학,332,사이버한국외국어대학교,본교,서울,사립,기존,서울특별시 동대문구 이문로 107 ,127.057944,37.59829262
대학,333,화신사이버대학교,본교,부산,사립,기존,부산광역시 연제구 고분로191번길 1 ,129.103255,35.18573938
대학,334,글로벌사이버대학교,본교,충남,사립,기존,충청남도 천안시 동남구 목천읍 교천지산길 284-88 ,127.199403,36.7938873
대학,335,건양사이버대학교,본교,대전,사립,기존,대전광역시 서구 관저동로 158 ,127.3426483,36.30778019
대학,374,한국과학기술원,본교,대전,특별법법인,기존,대전광역시 유성구 대학로 291 ,127.3571313,36.36817978
대학,381,광주과학기술원,본교,광주,특별법법인,기존,광주광역시 북구 첨단과기로 123 ,126.8429514,35.2268723
대학,382,대구경북과학기술원,본교,대구,특별법법인,기존,대구광역시 달성군 현풍면 테크노중앙대로 333 ,128.4550055,35.70564467
대학,383,한국예술종합학교,본교,서울,특별법국립,기존,서울특별시 성북구 화랑로32길 146-37 ,127.0539412,37.60635838
전문대학,402,경남도립거창대학,본교,경남,공립,기존,경상남도 거창군 거창읍 거창대학로 72 ,127.9124161,35.67320159
전문대학,403,경남도립남해대학,본교,경남,공립,기존,경상남도 남해군 남해읍 화전로78번길 30 ,127.898468,34.83699171
전문대학,405,경북도립대학교,본교,경북,공립,기존,경상북도 예천군 예천읍 도립대학길 114 ,128.4546445,36.64372244
전문대학,406,충북도립대학교,본교,충북,공립,기존,충청북도 옥천군 옥천읍 대학길 15 ,127.5721353,36.2999992
전문대학,410,가톨릭상지대학교,본교,경북,사립,기존,경상북도 안동시 상지길 45 ,128.7371035,36.56939664
전문대학,412,거제대학교,본교,경남,사립,기존,경상남도 거제시 마전1길 91 ,128.7254222,34.8499367
전문대학,415,호산대학교,본교,경북,사립,기존,경상북도 경산시 하양읍 대경로105길 19 ,128.7987966,35.90198296
전문대학,416,경민대학교,본교,경기,사립,기존,경기도 의정부시 서부로 545 ,127.0251321,37.74612792
전문대학,418,영남외국어대학,본교,경북,사립,기존,경상북도 경산시 남천면 남천로 780-9 ,128.7328663,35.78511239
전문대학,422,경인여자대학교,본교,인천,사립,기존,인천광역시 계양구 계양산로 63 ,126.7235328,37.54832035
전문대학,425,계명문화대학교,본교,대구,사립,기존,대구광역시 달서구 달서대로 675 ,128.4863507,35.85946075
전문대학,426,계원예술대학교,본교,경기,사립,기존,경기도 의왕시 계원대학로 66 ,126.9818218,37.37946867
전문대학,428,광양보건대학교,본교,전남,사립,기존,전라남도 광양시 광양읍 대학로 85 ,127.5688161,34.95323929
전문대학,429,광주보건대학교,본교,광주,사립,기존,광주광역시 광산구 북문대로419번길 73 ,126.8461924,35.19169673
전문대학,430,구미대학교,본교,경북,사립,기존,경상북도 구미시 야은로 37 ,128.2890965,36.15216587
전문대학,432,군장대학교,본교,전북,사립,기존,전라북도 군산시 성산면 군장대길 13 ,126.7849858,36.0019734
전문대학,433,강동대학교,본교,충북,사립,기존,충청북도 음성군 감곡면 대학길 278 ,127.6473779,37.14356628
전문대학,435,고구려대학교,본교,전남,사립,기존,전라남도 나주시 다시면 백호로 125 ,126.649175,35.0083096
전문대학,437,전주기전대학,본교,전북,사립,기존,전라북도 전주시 완산구 전주천서로 267 ,127.1356746,35.81782952
전문대학,438,경북보건대학교,본교,경북,사립,기존,경상북도 김천시 대학로 168 ,128.0837733,36.13820471
전문대학,440,김포대학교,본교,경기,사립,기존,경기도 김포시 월곶면 김포대학로 97 ,126.547291,37.72998089
전문대학,441,농협대학교,본교,경기,사립,기존,경기도 고양시 덕양구 서삼릉길 281 ,126.8732278,37.65951481
전문대학,442,대경대학교,본교,경북,사립,기존,경상북도 경산시 자인면 단북1길 65 ,128.8210406,35.83445186
전문대학,443,대구공업대학교,본교,대구,사립,기존,대구광역시 달서구 송현로 205 ,128.5443197,35.83408294
