학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소
대학,109,명지대학교,본교,경기,사립,기존,경기도 용인시 처인구 명지로 116 
대학,111,명지대학교,제2캠퍼스,서울,사립,기존,서울특별시 서대문구 거북골로 34 
대학,112,목원대학교,본교,대전,사립,기존,대전광역시 서구 도안북로 88 
대학,113,배재대학교,본교,대전,사립,기존,대전광역시 서구 배재로 155-40 
대학,114,부산가톨릭대학교,본교,부산,사립,기존,부산광역시 금정구 오륜대로 57 
대학,115,부산외국어대학교,본교,부산,사립,기존,부산광역시 금정구 금샘로485번길 65 
대학,116,삼육대학교,본교,서울,사립,기존,서울특별시 노원구 화랑로 815 
대학,117,상명대학교,본교,서울,사립,기존,서울특별시 종로구 홍지문2길 20 
대학,119,상지대학교,본교,강원,사립,기존,강원도 원주시 상지대길 83 
대학,120,서강대학교,본교,서울,사립,기존,서울특별시 마포구 백범로 35 
대학,121,서경대학교,본교,서울,사립,기존,서울특별시 성북구 서경로 124 
대학,125,서울신학대학교,본교,경기,사립,기존,경기도 부천시 소사구 호현로489번길 52 
대학,126,서울여자대학교,본교,서울,사립,기존,서울특별시 노원구 화랑로 621 
대학,127,서울장신대학교,본교,경기,사립,기존,경기도 광주시 경안로 145 
대학,128,서원대학교,본교,충북,사립,기존,충청북도 청주시 서원구 무심서로 377-3 
대학,129,선문대학교,본교,충남,사립,기존,충청남도 아산시 탕정면 선문로221번길 70 
대학,131,성결대학교,본교,경기,사립,기존,경기도 안양시 만안구 성결대학로 53 
대학,132,성공회대학교,본교,서울,사립,기존,서울특별시 구로구 연동로 320 
대학,133,성균관대학교,본교,서울,사립,기존,서울특별시 종로구 성균관로 25-2 
대학,136,성신여자대학교,본교,서울,사립,기존,서울특별시 성북구 보문로34다길 2 
대학,137,세명대학교,본교,충북,사립,기존,충청북도 제천시 세명로 65 
대학,138,세종대학교,본교,서울,사립,기존,서울특별시 광진구 능동로 209 
대학,139,수원가톨릭대학교,본교,경기,사립,기존,경기도 화성시 봉담읍 왕림1길 67 
대학,140,수원대학교,본교,경기,사립,기존,경기도 화성시 봉담읍 와우안길 17 
대학,141,숙명여자대학교,본교,서울,사립,기존,서울특별시 용산구 청파로47길 90 
